username,balance_ETH_ETH,balance_USDT_ETH
lQqmRJdg,12388,32294
aWDvCEiS,9693,16236
xnsyHKax,38938,67192
TeWkyMTK,65809,32114
KoAjYZbg,43955,15060
BvPoRkOl,56729,26812
gZKobVvp,44121,14034
TWrbSQEs,76672,64256
ETShTNyr,8101,83099
ZhczOKsa,41787,15680
hXWusLiI,16063,48839
NPJvNZnI,58437,29615
hHPFzFhT,72496,7798
HhQNIETc,30750,14476
yEuILJNE,17503,12454
Squeylsr,8765,2983
OvLSqsvt,64390,62263
EvHMzKbu,84747,66310
NcIPonBQ,67156,87921
AqVWwRbT,18974,38473
hJBGnXrB,7057,85818
QfGnaeip,19512,30398
BJZjoRyQ,33258,64197
nMkYmaKL,74350,62280
WUgvEEqq,77422,17256
YlKwJzXP,82114,37724
FWWYnWJe,27057,74057
InXPwhCF,35937,88954
dddmaToF,3261,20421
amuobdlW,44195,5439
ttsnlNWp,58459,50750
zOKIdByy,32597,19330
gcTKDudW,29652,77180
hOqGkBYW,37493,28546
DhboScmx,64879,77838
jOwrDAqq,85178,18293
aAdhWvot,27156,57687
UyBdPJqB,42003,25321
tuvfHyXy,32258,89286
qcHjtmct,30416,1487
IiCgtzNf,34391,10698
grSDJvEC,24633,19852
qdFUCFAa,6586,20407
RTcBVkAp,89200,42858
yJqccDKr,61092,24056
zqxOHXcJ,71826,53820
xkjzJYUE,24503,71001
slrXGVgT,67494,28243
ZHCfpHry,54977,68392
PsWWISCN,50035,51087
vYvNfjxM,72096,62588
zXvkQZxE,10632,82593
retKdNHy,72475,27380
pYSKrVjZ,69450,64384
mEIfsRZu,59127,81500
QuUzDtzJ,58949,84898
eCVMnmfE,77210,31031
nPoFfqUY,86755,32206
TDzGkSlY,30306,75914
KODqnvSt,71746,60682
dYseTKwI,45205,51285
dMypqzKK,9543,21413
LLzMkgKr,58363,31840
smRTQZYt,88641,23869
